Number,Country,Population,Yearly_Change,Net_Change,Density,Land_Area,Migrants,Fert_Rate,Med_Age,Urban_Pop,World_Share
148,Guinea-Bissau,"21,50,842",2.15%,"45,276",76,"28,120","-1,400",3.8,19,45%,0.03%
149,Slovenia,"21,19,675",-0.01%,-169,105,"20,140","2,000",1.6,44,55%,0.03%
150,North Macedonia,"20,85,679",-0.38%,"-7,920",83,"25,220","-1,000",1.4,39,60%,0.03%
151,Latvia,"18,30,211",-1.10%,"-20,440",29,"62,200","-7,630",1.6,44,69%,0.02%
152,Equatorial Guinea,"17,14,671",2.37%,"39,763",61,"28,050","4,000",4.1,21,67%,0.02%
153,Trinidad and Tobago,"15,34,937",0.25%,"3,893",299,"5,130",-800,1.6,36,48%,0.02%
154,Bahrain,"14,85,509",0.90%,"13,276","1,955",760,0,1.8,34,N.A.,0.02%
155,Timor-Leste,"13,60,596",1.44%,"19,300",91,"14,870","-5,000",3,21,35%,0.02%
156,Estonia,"13,22,765",-0.25%,"-3,297",31,"42,390","-1,000",1.7,42,68%,0.02%
157,Mauritius,"13,00,557",0.08%,"1,088",641,"2,030",0,1.4,37,40%,0.02%
158,Cyprus,"12,60,138",0.69%,"8,650",136,"9,240","5,000",1.3,39,65%,0.02%
159,Eswatini,"12,10,822",0.76%,"9,152",70,"17,200","-5,268",2.8,22,31%,0.02%
160,Djibouti,"11,36,455",1.39%,"15,606",49,"23,180",900,2.7,24,72%,0.01%
161,Réunion,"9,81,796",0.80%,"7,744",393,"2,500",-630,2.2,34,93%,0.01%
162,Fiji,"9,36,375",0.71%,"6,609",51,"18,270","-3,289",2.4,27,59%,0.01%
163,Comoros,"8,52,075",1.83%,"15,301",458,"1,861","-2,000",3.8,20,33%,0.01%
164,Guyana,"8,13,834",0.63%,"5,108",4,"1,96,850","-3,900",2.3,26,27%,0.01%
165,Bhutan,"7,87,424",0.64%,"4,969",21,"38,117",300,1.4,29,49%,0.01%
166,Solomon Islands,"7,40,424",2.23%,"16,151",26,"27,990","-1,600",3.9,19,24%,0.01%
167,Macao,"7,04,149",1.29%,"8,981","23,472",30,"5,000",1.1,39,97%,0.01%
168,Luxembourg,"6,54,768",1.11%,"7,169",253,"2,590","4,883",1.4,39,88%,0.01%
169,Montenegro,"6,26,485",-0.10%,-597,47,"13,450",-480,1.7,39,69%,0.01%
170,Suriname,"6,23,236",0.84%,"5,196",4,"1,56,000","-1,000",2.3,28,63%,0.01%
171,Cabo Verde,"5,98,682",0.93%,"5,533",149,"4,030","-1,227",1.9,27,67%,0.01%
172,Western Sahara,"5,87,259",1.96%,"11,273",2,"2,66,000","5,600",2.2,32,95%,0.01%
173,Micronesia,"5,44,321",0.98%,"5,308",778,700,"-1,642",2.7,26,71%,0.01%
174,Malta,"5,35,064",0.33%,"1,778","1,672",320,850,1.2,40,78%,0.01%
175,Maldives,"5,21,021",-0.53%,"-2,766","1,737",300,"-8,652",1.7,32,39%,0.01%
176,Brunei ,"4,52,524",0.78%,"3,522",86,"5,270",0,1.7,33,80%,0.01%
177,Bahamas,"4,12,623",0.64%,"2,639",41,"10,010","1,000",1.4,33,85%,0.01%
178,Belize,"4,10,825",1.37%,"5,553",18,"22,810",600,2,26,48%,0.01%
179,Guadeloupe,"3,95,839",0.02%,87,234,"1,690",-800,2,42,N.A.,0.00%
180,Iceland,"3,75,318",0.65%,"2,419",4,"1,00,250",380,1.7,36,88%,0.00%
181,Martinique,"3,66,981",-0.14%,-526,346,"1,060",-650,1.9,47,94%,0.00%
182,Mayotte,"3,35,995",3.03%,"9,894",896,375,0,4.3,17,40%,0.00%
183,Vanuatu,"3,34,506",2.38%,"7,766",27,"12,190",0,3.7,20,24%,0.00%
184,French Guiana,"3,12,155",2.49%,"7,598",4,"82,200","1,200",3.4,24,90%,0.00%
185,French Polynesia,"3,08,872",0.85%,"2,593",84,"3,660",-100,1.7,34,59%,0.00%
186,New Caledonia,"2,92,991",1.05%,"3,041",16,"18,280",500,2,34,74%,0.00%
187,Barbados,"2,81,995",0.13%,360,656,430,-80,1.6,40,32%,0.00%
188,Sao Tome & Principe,"2,31,856",1.97%,"4,476",242,960,-600,3.7,19,77%,0.00%
189,Samoa,"2,25,681",1.48%,"3,299",80,"2,830","-1,500",3.8,21,16%,0.00%
190,Curaçao,"1,92,077",0.48%,914,433,444,515,1.6,36,77%,0.00%
191,Saint Lucia,"1,80,251",0.22%,394,295,610,0,1.4,34,19%,0.00%
192,Guam,"1,72,952",0.69%,"1,178",320,540,-500,2.5,30,95%,0.00%
193,Kiribati,"1,33,515",1.74%,"2,283",165,810,-400,3.2,22,56%,0.00%
194,Grenada,"1,26,183",0.59%,745,371,340,-200,2,32,32%,0.00%
195,Tonga,"1,07,773",0.86%,915,150,720,-800,3.2,22,24%,0.00%
196,Seychelles,"1,07,660",0.51%,542,234,460,-200,2.3,33,53%,0.00%
197,Aruba,"1,06,277",-0.16%,-168,590,180,157,1.2,42,45%,0.00%
198,St. Vincent & Grenadines,"1,03,698",-0.24%,-250,266,390,-200,1.8,33,58%,0.00%
199,U.S. Virgin Islands,"98,750",-0.72%,-715,282,350,-450,2.1,43,N.A.,0.00%
200,Antigua and Barbuda,"94,298",0.57%,535,214,440,0,1.6,36,28%,0.00%
201,Isle of Man,"84,710",0.23%,191,149,570,340,1.6,46,55%,0.00%
202,Andorra,"80,088",0.33%,264,170,470,200,1.1,43,85%,0.00%
203,Dominica,"73,040",0.42%,303,97,750,-40,1.6,32,75%,0.00%
204,Cayman Islands,"69,310",0.88%,604,289,240,400,1.2,38,95%,0.00%
205,Bermuda,"64,069",-0.18%,-115,"1,281",50,0,1.4,46,94%,0.00%
206,Greenland,"56,643",0.31%,177,0,"4,10,450",-100,1.9,35,89%,0.00%
207,Faeroe Islands,"53,270",0.34%,180,38,"1,396",0,2.7,38,41%,0.00%
208,Northern Mariana Islands,"49,796",0.49%,245,108,460,-50,2.1,38,N.A.,0.00%
209,Saint Kitts & Nevis,"47,755",0.21%,98,184,260,20,1.5,35,38%,0.00%
210,Turks and Caicos,"46,062",0.79%,359,48,950,200,1.6,38,79%,0.00%
211,Sint Maarten,"44,222",0.11%,47,"1,301",34,0,1.6,48,97%,0.00%
212,American Samoa,"43,914",-0.81%,-359,220,200,-790,2.2,29,N.A.,0.00%
213,Marshall Islands,"41,996",1.03%,427,233,180,0,2.6,26,N.A.,0.00%
214,Liechtenstein,"39,584",0.65%,257,247,160,150,1.5,44,15%,0.00%
215,Monaco,"36,297",-0.47%,-172,"24,360",1,200,2.1,54,N.A.,0.00%
216,San Marino,"33,642",-0.05%,-18,561,60,100,1.1,47,99%,0.00%
217,Gibraltar,"32,688",0.12%,39,"3,269",10,-24,1.8,42,N.A.,0.00%
218,Saint Martin,"32,077",0.90%,286,605,53,0,2.4,39,0%,0.00%
219,British Virgin Islands,"31,538",0.74%,233,210,150,200,1,39,53%,0.00%
220,Caribbean Netherlands,"27,148",0.45%,122,83,328,100,1.6,40,74%,0.00%
221,Palau,"18,058",0.02%,3,39,460,-20,2.3,36,N.A.,0.00%
222,Cook Islands,"17,044",0.19%,33,71,240,-93,2.2,33,79%,0.00%
223,Anguilla,"15,899",0.26%,42,177,90,0,1.3,38,98%,0.00%
224,Nauru,"12,780",0.88%,112,639,20,-140,3.4,20,88%,0.00%
225,Wallis & Futuna,"11,502",-0.60%,-70,82,140,-119,1.9,37,0%,0.00%
226,Tuvalu,"11,396",0.74%,84,380,30,-60,3.1,25,69%,0.00%
227,Saint Barthelemy,"10,994",0.25%,27,524,21,0,1,40,0%,0.00%
228,Saint Pierre & Miquelon,"5,840",-0.38%,-22,25,230,0,1.6,44,N.A.,0.00%
229,Saint Helena,"5,314",-1.12%,-60,14,390,0,1.6,53,32%,0.00%
230,Montserrat,"4,386",-0.09%,-4,44,100,0,1.6,44,11%,0.00%
231,Falkland Islands,"3,791",0.29%,11,0,"12,170",0,1.6,40,62%,0.00%
232,Niue,"1,935",0.05%,1,7,260,0,2.4,36,41%,0.00%
233,Tokelau,"1,893",1.18%,22,189,10,0,2.6,27,0%,0.00%
234,Holy See,518,1.57%,8,"1,295",0,0,,,N.A.,0.00%
